"categoria","nombre","uuid","display_openmrs","fuente","score","flag","alternativas"
"urologico","Orquitis / epididimitis","114731AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","orquitis","OPENMRS","85","OK",""
"urologico","Disfunción eréctil","156162AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Disfunción eréctil asociada con diabetes mellitus tipo 2","OPENMRS","85","OK",""
"endocrino","Hipotiroidismo","117321AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Hipotiroidismo","CATALOGO","100","OK",""
"endocrino","Hipertiroidismo","138176AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Hipertiroidismo","CATALOGO","100","OK",""
"endocrino","Bocio","117772AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Bocio","CATALOGO","100","OK",""
"endocrino","Tiroiditis","112385AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","tiroiditis","OPENMRS","100","OK","tiroiditis (112385AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [100] || tiroiditis infecciosa (137268AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || tiroiditis focal (140022AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"endocrino","Obesidad","112959AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Obesidad","CATALOGO","100","OK",""
"endocrino","Síndrome metabólico","134262AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Sindrome metabolico","CATALOGO","100","OK",""
"endocrino","Dislipidemia mixta","141623AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","dislipidemia","OPENMRS","85","OK",""
"endocrino","Hiperuricemia","138111AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hiperuricemia","OPENMRS","100","OK","hiperuricemia (138111AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [100] || hiperuricemia sin signos de artritis inflamatoria o enfermedad tofácea (151949AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"endocrino","Síndrome de Cushing","137919AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","síndrome de Cushing idiopático","OPENMRS","85","OK",""
"endocrino","Insuficiencia suprarrenal","137961AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","insuficiencia suprarrenal yatrogénica","OPENMRS","85","OK",""
"endocrino","Hiperprolactinemia","138218AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hiperprolactinemia","OPENMRS","100","OK","hiperprolactinemia (138218AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [100] || hiperprolactinemia transitoria (124316AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || hiperprolactinemia idiopática (137897AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"endocrino","Deficiencia de vitamina D","117431AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hiperparatiroidismo secundario a deficiencia de vitamina D","OPENMRS","80","OK","hiperparatiroidismo secundario a deficiencia de vitamina D (117431AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [80] || deficiencia de vitamina B6 (123041AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [45] || deficiencia de vitamina B2 (148475AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [45]"
"endocrino","Hipogonadismo","117346AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hipogonadismo","OPENMRS","100","OK","hipogonadismo (117346AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [100] || hipogonadismo con anosmia (138059AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || hipogonadismo masculino (128476AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"neurologico","Cefalea tensional","159030AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Cefalea tensional","CATALOGO","100","OK",""
"neurologico","Migraña","115779AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Migrana","CATALOGO","100","OK",""
"neurologico","Epilepsia","155AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Epilepsia","CATALOGO","100","OK",""
"neurologico","Crisis convulsiva febril","140485AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","convulsión febril","OPENMRS","95","OK","crisis convulsiva generalizada (110050AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [40] || Crisis afectiva (161036AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [20] || crisis convulsivantes disociativas (118888AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [20]"
"neurologico","Estado epiléptico","125943AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Estado epileptico","CATALOGO","100","OK",""
"neurologico","Neuralgia del trigémino","129405AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","neuralgia del trigémino postherpética","OPENMRS","85","OK",""
"neurologico","Neuropatía periférica","117299AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","neuropatía periférica idiopática","OPENMRS","85","OK",""
"neurologico","Parálisis facial periférica (Bell)","140816AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","parálisis facial","OPENMRS","85","OK",""
"neurologico","Enfermedad de Parkinson","130795AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Enfermedad de Parkinson","CATALOGO","100","OK",""
